k1,k2,k3,p,value
0.001,0.126,0.126,0.8868421052631579,0.9658208499898713
0.001,0.126,0.126,0.9384210526315789,0.9786292472316251
0.001,0.126,0.126,0.99,1.0142044290747654
0.001,0.126,0.251,0.01,1.9218006047175678
0.001,0.126,0.251,0.06157894736842105,1.6995294158949497
0.001,0.126,0.251,0.11315789473684211,1.5367327864162057
0.001,0.126,0.251,0.16473684210526315,1.414752315479725
0.001,0.126,0.251,0.2163157894736842,1.3214785412982355
0.001,0.126,0.251,0.26789473684210524,1.248784534562839
0.001,0.126,0.251,0.3194736842105263,1.1910684192467134
0.001,0.126,0.251,0.37105263157894736,1.1443967585315544
0.001,0.126,0.251,0.4226315789473684,1.1059850356913281
0.001,0.126,0.251,0.47421052631578947,1.0738725047333073
0.001,0.126,0.251,0.5257894736842105,1.0467118349621933
0.001,0.126,0.251,0.5773684210526315,1.0236288243143208
0.001,0.126,0.251,0.6289473684210526,1.0041280129512637
0.001,0.126,0.251,0.6805263157894736,0.9880334191337234
0.001,0.126,0.251,0.7321052631578947,0.9754644205135308
0.001,0.126,0.251,0.7836842105263158,0.9668603786716421
0.001,0.126,0.251,0.8352631578947368,0.9630967932377215
0.001,0.126,0.251,0.8868421052631579,0.9658294033716168
0.001,0.126,0.251,0.9384210526315789,0.9786423746043802
0.001,0.126,0.251,0.99,1.0142204469011982
0.001,0.126,0.376,0.01,1.9098330097174898
0.001,0.126,0.376,0.06157894736842105,1.6920567783067755
0.001,0.126,0.376,0.11315789473684211,1.531966181528876
0.001,0.126,0.376,0.16473684210526315,1.4116631351520326
0.001,0.126,0.376,0.2163157894736842,1.3194543134845267
0.001,0.126,0.376,0.26789473684210524,1.2474494424896907
0.001,0.126,0.376,0.3194736842105263,1.1901858650480026
0.001,0.126,0.376,0.37105263157894736,1.1438145463609928
0.001,0.126,0.376,0.4226315789473684,1.1056035289603638
0.001,0.126,0.376,0.47421052631578947,1.07362558148174
0.001,0.126,0.376,0.5257894736842105,1.04655518644896
0.001,0.126,0.376,0.5773684210526315,1.023532582885304
0.001,0.126,0.376,0.6289473684210526,1.0040719988332851
0.001,0.126,0.376,0.6805263157894736,0.9880040119098421
0.001,0.126,0.376,0.7321052631578947,0.9754524639654427
0.001,0.126,0.376,0.7836842105263158,0.9668597590362862
0.001,0.126,0.376,0.8352631578947368,0.9631034662330737
0.001,0.126,0.376,0.8868421052631579,0.965840726085982
0.001,0.126,0.376,0.9384210526315789,0.9786566480471284
0.001,0.126,0.376,0.99,1.014236609798881
0.001,0.126,0.501,0.01,1.8994116358627506
0.001,0.126,0.501,0.06157894736842105,1.6856454544580926
0.001,0.126,0.501,0.11315789473684211,1.527934023027231
0.001,0.126,0.501,0.16473684210526315,1.409084988214234
0.001,0.126,0.501,0.2163157894736842,1.3177867088847144
0.001,0.126,0.501,0.26789473684210524,1.2463633428406347
0.001,0.126,0.501,0.3194736842105263,1.1894768357023233
0.001,0.126,0.501,0.37105263157894736,1.14335276817962
0.001,0.126,0.501,0.4226315789473684,1.1053050793800274
0.001,0.126,0.501,0.47421052631578947,1.0734354471586132
0.001,0.126,0.501,0.5257894736842105,1.0464369413476886
0.001,0.126,0.501,0.5773684210526315,1.023461957986083
0.001,0.126,0.501,0.6289473684210526,1.0040327832828524
0.001,0.126,0.501,0.6805263157894736,0.9879853863748402
0.001,0.126,0.501,0.7321052631578947,0.9754472357278283
0.001,0.126,0.501,0.7836842105263158,0.9668631784971602
0.001,0.126,0.501,0.8352631578947368,0.9631124265389426
0.001,0.126,0.501,0.8868421052631579,0.9658532199527983
0.001,0.126,0.501,0.9384210526315789,0.978671400055461
0.001,0.126,0.501,0.99,1.0142528325103193
0.001,0.126,0.626,0.01,1.8900190864595885
0.001,0.126,0.626,0.06157894736842105,1.6799281880241193
0.001,0.126,0.626,0.11315789473684211,1.5243751653738045
