k1,k2,k3,p,r,value
0.01,0.01,0.5,0.64,0.2195121951219512,0.4400125876114187
0.01,0.01,0.5,0.71,0.16959064327485382,0.4763501319939918
0.01,0.01,0.5,0.78,0.12359550561797751,0.5042502086811049
0.01,0.01,0.5,0.85,0.08108108108108109,0.5218432425030024
0.01,0.01,0.5,0.92,0.04166666666666665,0.526306396524584
0.01,0.01,0.5,0.99,0.005025125628140708,0.5086261130055023
0.01,0.01,0.57,0.01,0.9801980198019802,0.04766991782177721
0.01,0.01,0.57,0.08,0.8518518518518519,0.07426978350466662
0.01,0.01,0.57,0.15,0.7391304347826088,0.10847647386083825
0.01,0.01,0.57,0.22,0.639344262295082,0.14959147498445813
0.01,0.01,0.57,0.29,0.5503875968992248,0.19621213601836263
0.01,0.01,0.57,0.36,0.4705882352941177,0.24644135228454334
0.01,0.01,0.57,0.43,0.39860139860139865,0.2981163311088808
0.01,0.01,0.57,0.5,0.3333333333333333,0.34900909768311705
0.01,0.01,0.57,0.57,0.2738853503184714,0.3969731562199279
0.01,0.01,0.57,0.64,0.2195121951219512,0.44002549079837805
0.01,0.01,0.57,0.71,0.16959064327485382,0.47635727680189666
0.01,0.01,0.57,0.78,0.12359550561797751,0.5042538806534334
0.01,0.01,0.57,0.85,0.08108108108108109,0.5218449133035903
0.01,0.01,0.57,0.92,0.04166666666666665,0.5263069803320772
0.01,0.01,0.57,0.99,0.005025125628140708,0.5086261591440189
0.01,0.01,0.64,0.01,0.9801980198019802,0.0480139374532183
0.01,0.01,0.64,0.08,0.8518518518518519,0.07455334992537921
0.01,0.01,0.64,0.15,0.7391304347826088,0.10869765187470165
0.01,0.01,0.64,0.22,0.639344262295082,0.14975568617427704
0.01,0.01,0.64,0.29,0.5503875968992248,0.19632876914610264
0.01,0.01,0.64,0.36,0.4705882352941177,0.2465208997268531
0.01,0.01,0.64,0.43,0.39860139860139865,0.2981685474233764
0.01,0.01,0.64,0.5,0.3333333333333333,0.34904210587794005
0.01,0.01,0.64,0.57,0.2738853503184714,0.396993219547213
0.01,0.01,0.64,0.64,0.2195121951219512,0.44003716213498056
0.01,0.01,0.64,0.71,0.16959064327485382,0.47636371014814105
0.01,0.01,0.64,0.78,0.12359550561797751,0.5042571720835933
0.01,0.01,0.64,0.85,0.08108108108108109,0.5218464042681488
0.01,0.01,0.64,0.92,0.04166666666666665,0.5263074990037924
0.01,0.01,0.64,0.99,0.005025125628140708,0.5086261999566282
0.01,0.01,0.71,0.01,0.9801980198019802,0.04834251926562505
0.01,0.01,0.71,0.08,0.8518518518518519,0.07482237052171692
0.01,0.01,0.71,0.15,0.7391304347826088,0.10890628945400171
0.01,0.01,0.71,0.22,0.639344262295082,0.1499097985734381
0.01,0.01,0.71,0.29,0.5503875968992248,0.19643771448264802
0.01,0.01,0.71,0.36,0.4705882352941177,0.2465948731022647
0.01,0.01,0.71,0.43,0.39860139860139865,0.29821689681042707
0.01,0.01,0.71,0.5,0.3333333333333333,0.3490725419842198
